HH,1051,1187,1188,19,2152,3611,3918,512,94,s10,s19,s23,s3
CHH10,0,0,0,0,0,0,0,2,0,2,0,1,0
CHH2,0,1,2,2,0,0,0,0,0,0,2,0,0
CHH4,0,0,0,0,0,0,0,0,2,0,0,0,0
CHH6,0,0,0,0,0,0,2,0,0,0,0,0,0
CHH7,0,0,0,0,0,0,2,0,0,0,0,0,0
CHH8,2,0,0,0,2,0,0,0,0,0,0,0,0
NHH6,0,0,0,0,0,0,0,0,0,0,0,0,2
NHH9,0,0,0,0,0,1,0,0,0,0,0,0,0
CHH1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHH3,0,0,0,0,0,0,0,0,0,0,0,0,0
CHH5,0,0,0,0,0,0,0,0,0,0,0,0,0
CHH9,0,0,0,0,0,0,0,0,0,0,0,0,0
CHH11,0,0,0,0,0,0,0,0,0,0,0,0,0
CHH12,0,0,0,0,0,0,0,0,0,0,0,0,0
CHH13,0,0,0,0,0,0,0,0,0,0,0,0,0
CHH14,0,0,0,0,0,0,0,0,0,0,0,0,0
CHH15,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH1,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH2,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH3,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH4,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH5,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH7,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH8,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH10,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH11,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH12,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH13,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH14,0,0,0,0,0,0,0,0,0,0,0,0,0
NHH15,0,0,0,0,0,0,0,0,0,0,0,0,0
